 Freq Word
   22 drew
   22 flesh
   22 hint
   22 lives
   22 forty
   22 sink
   22 dashed
   22 descried
   22 higher
   22 terrible
   22 lets
   22 wonderful
   22 attached
   22 hunt
   22 meantime
   22 centre
   21 follow
   21 step
   21 base
   21 oceans
   21 spare
   21 negro
   21 states
   21 spot
   21 windlass
   21 repeated
   21 law
   21 subject
   21 advance
   21 ways
   21 lofty
   21 somewhere
   21 leviathans
   21 rear
   21 likewise
   21 terrors
   21 quickly
   21 lad
   21 thinks
   21 lakeman
   21 sing
   21 heavens
   21 aboard
   21 minutes
   21 truly
   21 loose
   21 windward
   21 magnitude
   21 hole
   21 directly
   21 break
   21 beheld
   21 hair
   21 decks
   21 age
   21 shark
   21 answered
   21 winds
   21 formed
   20 virtue
   20 former
   20 doubloon
   20 ah
   20 canst
   20 fain
   20 crews
   20 swam
   20 prow
   20 outer
   20 meet
   20 invested
   20 profound
   20 slightest
   20 evinced
   20 holy
   20 sitting
   20 sleeping
   20 dat
   20 master
   20 distant
   20 beginning
   20 parsee
   20 raised
   20 died
   20 lowered
   20 cruising
   20 terror
   20 laid
   20 dim
   20 gunwale
   20 billows
   20 golden
   20 swung
   20 son
   20 swim
   20 hanging
   20 hailed
   20 pilot
   20 radney
   20 father
   20 dost
   20 lies
   20 needs
   20 everything
   20 past
   20 officers
   20 dignity
   20 important
   20 gigantic
   20 inches
   20 separate
   20 moreover
   19 ordinary
   19 reached
   19 don
   19 avast
   19 starbucks
   19 seat
   19 stuff
   19 advancing
   19 marked
   19 log
   19 vicinity
   19 sorts
   19 smoking
   19 copy
   19 spermaceti
   19 united
   19 silence
   19 merely
   19 worse
   19 lightning
   19 precise
   19 quietly
   19 leaves
   19 hunted
   19 presented
   19 swiftly
   19 game
   19 eternal
   19 pole
   19 ribs
   19 whalers
   19 whaler
   19 upwards
   19 jacket
   19 wife
   19 floor
   19 deeper
   19 concluded
   19 gabriel
   19 solitary
   19 awful
   19 nantucketer
   19 yellow
   19 squall
   19 wise
   19 hollow
   19 largest
   19 tree
   19 casks
   19 rapidly
   19 empty
   18 engaged
   18 period
   18 lips
   18 anchor
   18 thereby
   18 dropping
   18 places
   18 interest
   18 modern
   18 telling
   18 breeze
   18 ishmael
   18 crossing
   18 revealed
   18 glory
   18 chiefly
   18 gentleman
   18 presently
   18 pay
   18 guess
   18 precious
   18 brave
   18 picture
   18 cannibal
   18 met
   18 sought
   18 agreement
   18 intense
   18 opposite
   18 try-works
   18 prodigious
   18 jolly
   18 lying
   18 ice
   18 sake
   18 scuttle
   18 forced
   18 pale
   18 difference
   18 beach
   18 fight
   18 lamp
   18 observed
   18 nameless
   18 gives
   18 spite
   18 england
   18 future
   18 owners
   18 yonder
   18 blacksmith
   18 bedford
   18 whereas
   18 understand
   18 inside
   18 seized
   18 atlantic
   18 bring
   18 regularly
   18 height
   18 leave
   18 fall
   18 content
   18 horizon
   17 tomahawk
   17 lowering
   17 bold
   17 fatal
   17 weight
   17 example
   17 whence
   17 native
   17 friends
   17 lo
   17 gaze
   17 dragged
   17 figure
   17 months
   17 longer
   17 sent
   17 thin
   17 thrust
   17 rush
   17 captured
   17 starboard
   17 instance
   17 madness
   17 east
   17 careful
   17 lee
   17 license
   17 rate
   17 christian
   17 trunk
   17 animal
   17 originally
   17 islands
   17 drive
   17 rocks
   17 spirit
   17 roll
   17 voyages
   17 hitherto
   17 drink
   17 inserted
   17 numerous
   17 foolish
   17 bad
   17 bore
   17 shape
   17 minute
   17 continually
   17 solid
   17 affair
   17 thine
   17 flame
   17 evening
   17 fail
   17 immediately
   17 trying
   17 pictures
   17 previously
   17 rise
   16 carries
   16 fellows
   16 behold
   16 pleasant
   16 west
   16 steward
   16 clean
   16 breath
   16 fro
   16 encountered
   16 fairly
   16 fully
   16 scientific
   16 mystic
   16 uncommon
   16 flames
   16 straits
   16 special
   16 blows
   16 barrels
   16 laugh
   16 horizontal
   16 additional
   16 including
   16 immense
   16 fate
   16 main
   16 hussey
   16 whos
   16 please
   16 proved
   16 jump
   16 civilized
   16 whenever
   16 actually
   16 encounter
   16 putting
   16 oarsmen
   16 plank
   16 irons
   16 stroke
   16 town
   16 respect
   16 heat
   16 race
   16 paused
   16 meaning
   16 delight
   16 rare
   16 invisible
   16 amid
   16 remember
   16 anywhere
   16 showed
   16 porpoise
   16 neck
   16 unaccountable
   16 freely
   16 distinct
   16 feels
   16 moments
   16 slid
   16 beef
   16 individual
   16 spouts
   16 mentioned
   16 motion
   16 dog
   16 earthly
   16 charge
   16 impossible
   16 keen
   16 thousands
   16 happened
   16 floated
   16 furnished
   16 watching
   16 folio
   16 sit
   15 critical
   15 ho
   15 rushed
   15 shake
   15 utmost
   15 sword
   15 boiling
   15 exceedingly
   15 weary
   15 foam
   15 flag
   15 isles
   15 frantic
   15 books
   15 spray
   15 character
   15 children
   15 grown
   15 wish
   15 grass
   15 signs
